Index,Date,Tenbin,Minute,Hits,Misses
535,2024-05-16,2240,0,1270,0
536,2024-05-16,2240,1,1407,0
537,2024-05-16,2240,2,1440,0
538,2024-05-16,2240,3,2036,0
539,2024-05-16,2240,4,2136,0
540,2024-05-16,2240,5,2294,0
541,2024-05-16,2240,6,1987,0
542,2024-05-16,2240,7,1745,0
543,2024-05-16,2240,8,2286,0
544,2024-05-16,2240,9,2397,0
545,2024-05-16,2250,0,3663,0
546,2024-05-16,2250,1,2314,0
547,2024-05-16,2250,2,2068,0
548,2024-05-16,2250,3,2132,0
549,2024-05-16,2250,4,1922,0
550,2024-05-16,2250,5,2017,0
551,2024-05-16,2250,6,2198,0
552,2024-05-16,2250,7,3088,0
553,2024-05-16,2250,8,4616,0
554,2024-05-16,2250,9,3552,0
555,2024-05-16,2300,0,3146,0
556,2024-05-16,2300,1,3006,0
557,2024-05-16,2300,2,3296,0
558,2024-05-16,2300,3,2647,0
559,2024-05-16,2300,4,2633,0
560,2024-05-16,2300,5,2327,0
561,2024-05-16,2300,6,2082,0
562,2024-05-16,2300,7,2040,0
563,2024-05-16,2300,8,1801,0
564,2024-05-16,2300,9,1904,0
565,2024-05-16,2310,0,3684,0
566,2024-05-16,2310,1,2614,0
567,2024-05-16,2310,2,1904,0
568,2024-05-16,2310,3,2340,0
569,2024-05-16,2310,4,2007,0
570,2024-05-16,2310,5,1757,0
571,2024-05-16,2310,6,1441,0
572,2024-05-16,2310,7,1607,0
573,2024-05-16,2310,8,1761,0
574,2024-05-16,2310,9,1775,0
575,2024-05-16,2320,0,2661,0
576,2024-05-16,2320,1,1676,0
577,2024-05-16,2320,2,1465,0
578,2024-05-16,2320,3,1714,0
579,2024-05-16,2320,4,1851,0
580,2024-05-16,2320,5,1697,0
581,2024-05-16,2320,6,1529,0
582,2024-05-16,2320,7,1506,0
583,2024-05-16,2320,8,1659,0
584,2024-05-16,2320,9,2038,0
585,2024-05-16,2330,0,2371,0
586,2024-05-16,2330,1,2339,0
587,2024-05-16,2330,2,2519,0
588,2024-05-16,2330,3,2788,0
589,2024-05-16,2330,4,2883,0
590,2024-05-16,2330,5,3439,0
591,2024-05-16,2330,6,3240,0
592,2024-05-16,2330,7,2756,0
593,2024-05-16,2330,8,2539,0
594,2024-05-16,2330,9,2080,0
595,2024-05-16,2340,0,1695,0
596,2024-05-16,2340,1,1700,0
597,2024-05-16,2340,2,1694,0
598,2024-05-16,2340,3,1656,0
599,2024-05-16,2340,4,1606,0
600,2024-05-16,2340,5,1513,0
601,2024-05-16,2340,6,1742,0
602,2024-05-16,2340,7,1628,0
603,2024-05-16,2340,8,1794,0
604,2024-05-16,2340,9,2155,0
605,2024-05-16,2350,0,2206,0
606,2024-05-16,2350,1,2279,0
607,2024-05-16,2350,2,2031,0
608,2024-05-16,2350,3,2111,0
609,2024-05-16,2350,4,3135,0
610,2024-05-16,2350,5,2426,0
611,2024-05-16,2350,6,2280,0
612,2024-05-16,2350,7,3860,0
613,2024-05-16,2350,8,3950,0
614,2024-05-16,2350,9,3239,0
615,2024-05-17,0000,0,2487,0
616,2024-05-17,0000,1,2180,0
617,2024-05-17,0000,2,2351,0
618,2024-05-17,0000,3,2190,0
619,2024-05-17,0000,4,2190,0
620,2024-05-17,0000,5,2067,0
621,2024-05-17,0000,6,1942,0
622,2024-05-17,0000,7,1923,0
623,2024-05-17,0000,8,1922,0
624,2024-05-17,0000,9,1622,0
625,2024-05-17,0010,0,1584,0
626,2024-05-17,0010,1,2015,0
627,2024-05-17,0010,2,2233,0
628,2024-05-17,0010,3,2040,0
629,2024-05-17,0010,4,1762,0
630,2024-05-17,0010,5,1601,0
631,2024-05-17,0010,6,1353,0
632,2024-05-17,0010,7,1629,0
633,2024-05-17,0010,8,1751,0
634,2024-05-17,0010,9,2040,0
635,2024-05-17,0020,0,1977,0
636,2024-05-17,0020,1,1745,0
637,2024-05-17,0020,2,1685,0
638,2024-05-17,0020,3,2114,0
639,2024-05-17,0020,4,2592,0
640,2024-05-17,0020,5,2556,0
641,2024-05-17,0020,6,2583,0
642,2024-05-17,0020,7,2319,0
643,2024-05-17,0020,8,1867,0
644,2024-05-17,0020,9,1702,0
645,2024-05-17,0030,0,1873,0
646,2024-05-17,0030,1,2157,0
647,2024-05-17,0030,2,2893,0
648,2024-05-17,0030,3,3108,0
649,2024-05-17,0030,4,3089,0
650,2024-05-17,0030,5,2867,0
651,2024-05-17,0030,6,2658,0
652,2024-05-17,0030,7,2855,0
653,2024-05-17,0030,8,2591,0
654,2024-05-17,0030,9,2448,0
655,2024-05-17,0040,0,2939,0
656,2024-05-17,0040,1,2477,0
657,2024-05-17,0040,2,2329,0
658,2024-05-17,0040,3,2194,0
659,2024-05-17,0040,4,2328,0
660,2024-05-17,0040,5,2004,0
661,2024-05-17,0040,6,1993,0
662,2024-05-17,0040,7,3505,0
663,2024-05-17,0040,8,2099,0
664,2024-05-17,0040,9,2170,0
665,2024-05-17,0050,0,2396,0
666,2024-05-17,0050,1,2514,0
667,2024-05-17,0050,2,2682,0
668,2024-05-17,0050,3,2861,0
669,2024-05-17,0050,4,2587,0
670,2024-05-17,0050,5,2070,0
671,2024-05-17,0050,6,1754,0
672,2024-05-17,0050,7,1681,0
673,2024-05-17,0050,8,1467,0
674,2024-05-17,0050,9,1491,0
675,2024-05-17,0100,0,1507,0
676,2024-05-17,0100,1,1539,0
677,2024-05-17,0100,2,1394,0
678,2024-05-17,0100,3,1666,0
679,2024-05-17,0100,4,1902,0
680,2024-05-17,0100,5,2156,0
681,2024-05-17,0100,6,2748,0
682,2024-05-17,0100,7,3736,0
683,2024-05-17,0100,8,3311,0
684,2024-05-17,0100,9,2947,0
685,2024-05-17,0110,0,2666,0
686,2024-05-17,0110,1,2360,0
687,2024-05-17,0110,2,2193,0
688,2024-05-17,0110,3,2077,0
689,2024-05-17,0110,4,2461,0
690,2024-05-17,0110,5,2685,0
691,2024-05-17,0110,6,3032,0
692,2024-05-17,0110,7,3247,0
693,2024-05-17,0110,8,3315,0
694,2024-05-17,0110,9,3156,0
695,2024-05-17,0120,0,3108,0
696,2024-05-17,0120,1,3088,0
697,2024-05-17,0120,2,2896,0
698,2024-05-17,0120,3,2868,0
699,2024-05-17,0120,4,2997,0
700,2024-05-17,0120,5,3025,0
701,2024-05-17,0120,6,3107,0
702,2024-05-17,0120,7,2882,0
703,2024-05-17,0120,8,2880,0
704,2024-05-17,0120,9,3058,0
705,2024-05-17,0130,0,2555,0
706,2024-05-17,0130,1,2148,0
707,2024-05-17,0130,2,2250,0
708,2024-05-17,0130,3,2161,0
709,2024-05-17,0130,4,2436,0
710,2024-05-17,0130,5,2117,0
711,2024-05-17,0130,6,1955,0
712,2024-05-17,0130,7,1706,0
713,2024-05-17,0130,8,1816,0
714,2024-05-17,0130,9,1900,0
715,2024-05-17,0140,0,2117,0
716,2024-05-17,0140,1,2220,0
717,2024-05-17,0140,2,2086,0
718,2024-05-17,0140,3,1849,0
719,2024-05-17,0140,4,2209,0
720,2024-05-17,0140,5,2247,0
721,2024-05-17,0140,6,2195,0
722,2024-05-17,0140,7,2460,0
723,2024-05-17,0140,8,2255,0
724,2024-05-17,0140,9,1724,0
725,2024-05-17,0150,0,1767,0
726,2024-05-17,0150,1,1704,0
727,2024-05-17,0150,2,1939,0
728,2024-05-17,0150,3,2169,0
729,2024-05-17,0150,4,2693,0
