,Date,Tenbin,Minute,Hits,Misses
7,2024-05-19,1330,7,2852,0
8,2024-05-19,1330,8,2846,0
9,2024-05-19,1330,9,2788,0
0,2024-05-19,1350,0,33180,7954
1,2024-05-19,1350,1,6477,0
2,2024-05-19,1350,2,50135,15623
3,2024-05-19,1350,3,10964,0
4,2024-05-19,1350,4,3575,0
5,2024-05-19,1350,5,3592,0
6,2024-05-19,1350,6,3801,0
7,2024-05-19,1350,7,3012,0
8,2024-05-19,1350,8,3428,0
9,2024-05-19,1350,9,3388,0
0,2024-05-19,1400,0,3607,0
1,2024-05-19,1400,1,4207,0
2,2024-05-19,1400,2,3827,0
3,2024-05-19,1400,3,3424,0
4,2024-05-19,1400,4,3694,0
5,2024-05-19,1400,5,3386,0
